n = 10	x = 0.5
 i          x       
--------------------
 0    0.975000000000
 1    0.095062500000
 2    0.335499922266
 3    0.869464925259
 4    0.442633109113
 5    0.962165255337
 6    0.141972779362
 7    0.475084386200
 8    0.972578927537
 9    0.104009713267

n = 6	x = 0.25
 i          x       
--------------------
 0    0.731250000000
 1    0.766441406250
 2    0.698135010439
 3    0.821895818790
 4    0.570894019197
 5    0.955398748364

n = 4	x = 0.6
 i          x       
--------------------
 0    0.936000000000
 1    0.233625600000
 2    0.698274248196
 3    0.821680557759

n = 7	x = 0.3
 i          x       
--------------------
 0    0.819000000000
 1    0.578132100000
 2    0.951191962303
 3    0.181060671296
 4    0.578283047963
 5    0.951099881167
 6    0.181384699125

n = 9	x = 0.8
 i          x       
--------------------
 0    0.624000000000
 1    0.915033600000
 2    0.303213732397
 3    0.823973143043
 4    0.565661470088
 5    0.958185428249
 6    0.156257842027
 7    0.514181182445
 8    0.974215686851

n = 64	x = 0.4
 i          x       
--------------------
 0    0.936000000000
 1    0.233625600000
 2    0.698274248196
 3    0.821680557759
 4    0.571434313164
 5    0.955098841721
 6    0.167251672630
 7    0.543186347468
 8    0.967726263630
 9    0.121805355011
10    0.417178360955
11    0.948248246813
12    0.191386685993
13    0.603555507429
14    0.933177401837
15    0.243193620298
16    0.717796885043
17    0.790001615775
18    0.647006345107
19    0.890717624543
20    0.379624977698
21    0.918488430622
22    0.291982990398
23    0.806242802493
24    0.609239849092
25    0.928459955944
26    0.259046057994
27    0.748570671544
28    0.734029222868
29    0.761398259091
30    0.708516705563
31    0.805431055654
32    0.611176293943
33    0.926795343494
34    0.264598365610
35    0.758885675054
36    0.713615008282
37    0.797037650124
38    0.630897674195
39    0.908176615672
40    0.325228216632
41    0.855873812580
42    0.481079935127
43    0.973603921466
44    0.100227369730
45    0.351709191938
46    0.889238361353
47    0.384124642400
48    0.922634315854
49    0.278382916744
50    0.783454886796
51    0.661647975891
52    0.873092734372
53    0.432127065079
54    0.957033732350
55    0.160368653227
56    0.525137138327
57    0.972535684679
58    0.104169104148
59    0.363939817369
60    0.902801744139
61    0.342227944183
62    0.877921115772
63    0.417984957988

